"term_name","Presence","ONTOLOGY","ontology_full"
"phosphoprotein phosphatase activity","Introgression","MF","Molecular Function"
"plus-end-directed microtubule motor activity","Introgression","MF","Molecular Function"
"poly(A) RNA polymerase activity","Introgression","MF","Molecular Function"
"polyamine oxidase activity","Introgression","MF","Molecular Function"
"polygalacturonase activity","Introgression","MF","Molecular Function"
"polysaccharide binding","Introgression","MF","Molecular Function"
"procollagen-proline 4-dioxygenase activity","Introgression","MF","Molecular Function"
"protein disulfide isomerase activity","Introgression","MF","Molecular Function"
"protein heterodimerization activity","Introgression","MF","Molecular Function"
"protein phosphatase inhibitor activity","Introgression","MF","Molecular Function"
"protein-folding chaperone binding","Introgression","MF","Molecular Function"
"pseudouridine synthase activity","Introgression","MF","Molecular Function"
"purine nucleoside transmembrane transporter activity","Introgression","MF","Molecular Function"
"serine-type exopeptidase activity","Introgression","MF","Molecular Function"
"signaling receptor activity","Introgression","MF","Molecular Function"
"small GTPase binding","Introgression","MF","Molecular Function"
"snoRNA binding","Introgression","MF","Molecular Function"
"spermidine synthase activity","Introgression","MF","Molecular Function"
"sucrose synthase activity","Introgression","MF","Molecular Function"
"sugar transmembrane transporter activity","Introgression","MF","Molecular Function"
"thioredoxin-disulfide reductase (NADPH) activity","Introgression","MF","Molecular Function"
"transaminase activity","Introgression","MF","Molecular Function"
"transcription corepressor activity","Introgression","MF","Molecular Function"
"trehalose-phosphatase activity","Introgression","MF","Molecular Function"
"tyrosine-tRNA ligase activity","Introgression","MF","Molecular Function"
