"term_name","Presence","ONTOLOGY","ontology_full"
"DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"DNA translocase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"IMP cyclohydrolase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"L-allo-threonine aldolase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"L-serine-pyruvate transaminase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"MAP kinase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"O-acyltransferase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"O-methyltransferase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"RNA cap binding","Scenario 2 (Breeding Only)","MF","Molecular Function"
"RNA polymerase I core binding","Scenario 2 (Breeding Only)","MF","Molecular Function"
"RNA polymerase II C-terminal domain phosphoserine binding","Scenario 2 (Breeding Only)","MF","Molecular Function"
"RNA polymerase II general transcription initiation factor activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"S-(hydroxymethyl)glutathione dehydrogenase [NAD(P)+] activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"S-adenosylmethionine-homocysteine S-methyltransferase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"UDP-arabinopyranose mutase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"UDP-glucosyltransferase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"acetate-CoA ligase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"actin filament binding","Scenario 2 (Breeding Only)","MF","Molecular Function"
"adenylate kinase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"alanine-glyoxylate transaminase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"alpha-mannosidase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"amine-lyase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"ammonia-lyase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"ammonium channel activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"asparagine synthase (glutamine-hydrolyzing) activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"aspartate kinase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"beta-amylase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"beta-glucosidase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"beta-tubulin binding","Scenario 2 (Breeding Only)","MF","Molecular Function"
"cadmium ion transmembrane transporter activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"carbohydrate:proton symporter activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"carbon-sulfur lyase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"carotene beta-ring hydroxylase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"catalase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"cation binding","Scenario 2 (Breeding Only)","MF","Molecular Function"
"ceramide 1-phosphate binding","Scenario 2 (Breeding Only)","MF","Molecular Function"
"ceramide 1-phosphate transfer activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"chalcone isomerase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"chloride:monoatomic cation symporter activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"chromatin DNA binding","Scenario 2 (Breeding Only)","MF","Molecular Function"
"cyclin-dependent protein serine/threonine kinase regulator activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"cytidylyltransferase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"cytochrome-b5 reductase activity, acting on NAD(P)H","Scenario 2 (Breeding Only)","MF","Molecular Function"
"cytoskeletal motor activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"deaminase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"deoxyhypusine monooxygenase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"diaminohydroxyphosphoribosylaminopyrimidine deaminase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"dynein intermediate chain binding","Scenario 2 (Breeding Only)","MF","Molecular Function"
"electron-transferring-flavoprotein dehydrogenase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"endonuclease activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"glutathione binding","Scenario 2 (Breeding Only)","MF","Molecular Function"
"glutathione gamma-glutamylcysteinyltransferase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"glycerol-3-phosphate 2-O-acyltransferase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"glycerone kinase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"guanosine deaminase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"hexosyltransferase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"histone H3 acetyltransferase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"histone H3K4 methyltransferase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"hydrolase activity, hydrolyzing N-glycosyl compounds","Scenario 2 (Breeding Only)","MF","Molecular Function"
"intramolecular transferase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"isopentenyl-diphosphate delta-isomerase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"lipid transfer activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"lipid transporter activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"long-chain-alcohol oxidase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"malate dehydrogenase (decarboxylating) (NADP+) activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"malic enzyme activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"manganese ion transmembrane transporter activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"metal ion transmembrane transporter activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"metallocarboxypeptidase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"methylmalonate-semialdehyde dehydrogenase (acylating, NAD) activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"microfilament motor activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"minor groove of adenine-thymine-rich DNA binding","Scenario 2 (Breeding Only)","MF","Molecular Function"
"myo-inositol:proton symporter activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"nicotianamine synthase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"nucleobase-containing compound kinase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"nucleosomal DNA binding","Scenario 2 (Breeding Only)","MF","Molecular Function"
"oxidoreductase activity, acting on CH-OH group of donors","Scenario 2 (Breeding Only)","MF","Molecular Function"
"oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor","Scenario 2 (Breeding Only)","MF","Molecular Function"
"peptidase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"peptide alpha-N-acetyltransferase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"phosphate transmembrane transporter activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"phosphatidate phosphatase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"phosphatidylinositol-4,5-bisphosphate binding","Scenario 2 (Breeding Only)","MF","Molecular Function"
"phosphoenolpyruvate carboxylase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"phospholipase A1 activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"phospholipase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"phosphoribosyl-ATP diphosphatase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"phosphoribosylaminoimidazolecarboxamide formyltransferase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"phosphotransferase activity, phosphate group as acceptor","Scenario 2 (Breeding Only)","MF","Molecular Function"
"procollagen-proline 4-dioxygenase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"protein disulfide isomerase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"protein kinase binding","Scenario 2 (Breeding Only)","MF","Molecular Function"
"proton transmembrane transporter activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"proton-transporting ATPase activity, rotational mechanism","Scenario 2 (Breeding Only)","MF","Molecular Function"
"pyruvate, phosphate dikinase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"racemase and epimerase activity, acting on carbohydrates and derivatives","Scenario 2 (Breeding Only)","MF","Molecular Function"
"receptor serine/threonine kinase binding","Scenario 2 (Breeding Only)","MF","Molecular Function"
"ribonuclease inhibitor activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"secondary active sulfate transmembrane transporter activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"serine-type carboxypeptidase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"sialyltransferase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"single-stranded DNA endodeoxyribonuclease activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"snoRNA binding","Scenario 2 (Breeding Only)","MF","Molecular Function"
"starch binding","Scenario 2 (Breeding Only)","MF","Molecular Function"
"stearoyl-CoA 9-desaturase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"stearoyl-[ACP] desaturase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"sterol 24-C-methyltransferase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"sulfur dioxygenase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"syntaxin binding","Scenario 2 (Breeding Only)","MF","Molecular Function"
"tRNA-intron endonuclease activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"telomerase RNA binding","Scenario 2 (Breeding Only)","MF","Molecular Function"
"telomeric DNA binding","Scenario 2 (Breeding Only)","MF","Molecular Function"
"thymidine kinase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"transferase activity, transferring phosphorus-containing groups","Scenario 2 (Breeding Only)","MF","Molecular Function"
"translation release factor activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"transmembrane receptor protein tyrosine kinase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"tryptophan synthase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"tubulin binding","Scenario 2 (Breeding Only)","MF","Molecular Function"
"ubiquinol-cytochrome-c reductase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"ubiquitin-like ligase-substrate adaptor activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
"xylosyltransferase activity","Scenario 2 (Breeding Only)","MF","Molecular Function"
